year_month,brand,model,engine_volume,power_hp,price_rub,sales_qty,util_fee_rub,key_rate,usd_rub,inflation_pct
2022-04,Kia,Rio,1.6,100,1551000,431,34000,14.0,103.0,1.16
2022-04,Toyota,RAV4,2.0,146,1551000,344,34000,14.0,103.0,1.16
2022-04,Chery,Tiggo7,1.5,147,1551000,369,34000,14.0,103.0,1.16
2022-04,Geely,Coolray,1.5,147,1551000,410,34000,14.0,103.0,1.16
2022-04,BMW,X5,3.0,249,1551000,379,34000,14.0,103.0,1.16
2022-04,Mercedes,E-Class,2.0,194,1551000,414,34000,14.0,103.0,1.16
2022-04,Volkswagen,Polo,1.6,110,1551000,373,34000,14.0,103.0,1.16
2022-05,Lada,Vesta,1.6,106,1551000,375,34000,15.0,95.0,1.16
2022-05,Lada,Granta,1.6,90,1551000,284,34000,15.0,95.0,1.16
2022-05,Hyundai,Creta,1.6,123,1551000,309,34000,15.0,95.0,1.16
2022-05,Kia,Rio,1.6,100,1551000,318,34000,15.0,95.0,1.16
2022-05,Toyota,RAV4,2.0,146,1551000,289,34000,15.0,95.0,1.16
2022-05,Chery,Tiggo7,1.5,147,1551000,310,34000,15.0,95.0,1.16
2022-05,Geely,Coolray,1.5,147,1551000,291,34000,15.0,95.0,1.16
2022-05,BMW,X5,3.0,249,1551000,316,34000,15.0,95.0,1.16
2022-05,Mercedes,E-Class,2.0,194,1551000,366,34000,15.0,95.0,1.16
2022-05,Volkswagen,Polo,1.6,110,1551000,328,34000,15.0,95.0,1.16
2022-06,Lada,Vesta,1.6,106,1551000,300,34000,17.0,91.0,1.16
2022-06,Lada,Granta,1.6,90,1551000,280,34000,17.0,91.0,1.16
2022-06,Hyundai,Creta,1.6,123,1551000,287,34000,17.0,91.0,1.16
2022-06,Kia,Rio,1.6,100,1551000,372,34000,17.0,91.0,1.16
2022-06,Toyota,RAV4,2.0,146,1551000,336,34000,17.0,91.0,1.16
2022-06,Chery,Tiggo7,1.5,147,1551000,331,34000,17.0,91.0,1.16
2022-06,Geely,Coolray,1.5,147,1551000,275,34000,17.0,91.0,1.16
2022-06,BMW,X5,3.0,249,1551000,346,34000,17.0,91.0,1.16
2022-06,Mercedes,E-Class,2.0,194,1551000,274,34000,17.0,91.0,1.16
2022-06,Volkswagen,Polo,1.6,110,1551000,302,34000,17.0,91.0,1.16
2022-07,Lada,Vesta,1.6,106,1551000,361,34000,18.0,93.0,1.16
2022-07,Lada,Granta,1.6,90,1551000,319,34000,18.0,93.0,1.16
2022-07,Hyundai,Creta,1.6,123,1551000,309,34000,18.0,93.0,1.16
2022-07,Kia,Rio,1.6,100,1551000,324,34000,18.0,93.0,1.16
2022-07,Toyota,RAV4,2.0,146,1551000,343,34000,18.0,93.0,1.16
2022-07,Chery,Tiggo7,1.5,147,1551000,335,34000,18.0,93.0,1.16
2022-07,Geely,Coolray,1.5,147,1551000,269,34000,18.0,93.0,1.16
2022-07,BMW,X5,3.0,249,1551000,245,34000,18.0,93.0,1.16
2022-07,Mercedes,E-Class,2.0,194,1551000,280,34000,18.0,93.0,1.16
2022-07,Volkswagen,Polo,1.6,110,1551000,274,34000,18.0,93.0,1.16
2022-08,Lada,Vesta,1.6,106,1551000,267,34000,18.0,91.0,1.16
2022-08,Lada,Granta,1.6,90,1551000,356,34000,18.0,91.0,1.16
2022-08,Hyundai,Creta,1.6,123,1551000,347,34000,18.0,91.0,1.16
2022-08,Kia,Rio,1.6,100,1551000,280,34000,18.0,91.0,1.16
2022-08,Toyota,RAV4,2.0,146,1551000,321,34000,18.0,91.0,1.16
2022-08,Chery,Tiggo7,1.5,147,1551000,289,34000,18.0,91.0,1.16
2022-08,Geely,Coolray,1.5,147,1551000,352,34000,18.0,91.0,1.16
2022-08,BMW,X5,3.0,249,1551000,297,34000,18.0,91.0,1.16
2022-08,Mercedes,E-Class,2.0,194,1551000,274,34000,18.0,91.0,1.16
2022-08,Volkswagen,Polo,1.6,110,1551000,271,34000,18.0,91.0,1.16
2022-09,Lada,Vesta,1.6,106,1551000,309,34000,18.0,93.5,1.16
2022-09,Lada,Granta,1.6,90,1551000,273,34000,18.0,93.5,1.16
2022-09,Hyundai,Creta,1.6,123,1551000,312,34000,18.0,93.5,1.16
2022-09,Kia,Rio,1.6,100,1551000,350,34000,18.0,93.5,1.16
2022-09,Toyota,RAV4,2.0,146,1551000,290,34000,18.0,93.5,1.16
2022-09,Chery,Tiggo7,1.5,147,1551000,268,34000,18.0,93.5,1.16
2022-09,Geely,Coolray,1.5,147,1551000,362,34000,18.0,93.5,1.16
2022-09,BMW,X5,3.0,249,1551000,303,34000,18.0,93.5,1.16
2022-09,Mercedes,E-Class,2.0,194,1551000,252,34000,18.0,93.5,1.16
2022-09,Volkswagen,Polo,1.6,110,1551000,247,34000,18.0,93.5,1.16
2022-10,Lada,Vesta,1.6,106,1551000,229,34000,20.0,88.0,1.16
2022-10,Lada,Granta,1.6,90,1551000,286,34000,20.0,88.0,1.16
2022-10,Hyundai,Creta,1.6,123,1551000,304,34000,20.0,88.0,1.16
2022-10,Kia,Rio,1.6,100,1551000,263,34000,20.0,88.0,1.16
2022-10,Toyota,RAV4,2.0,146,1551000,224,34000,20.0,88.0,1.16
2022-10,Chery,Tiggo7,1.5,147,1551000,259,34000,20.0,88.0,1.16
2022-10,Geely,Coolray,1.5,147,1551000,326,34000,20.0,88.0,1.16
2022-10,BMW,X5,3.0,249,1551000,275,34000,20.0,88.0,1.16
2022-10,Mercedes,E-Class,2.0,194,1551000,323,34000,20.0,88.0,1.16
2022-10,Volkswagen,Polo,1.6,110,1551000,311,34000,20.0,88.0,1.16
2022-11,Lada,Vesta,1.6,106,1551000,207,34000,21.0,94.0,1.16
2022-11,Lada,Granta,1.6,90,1551000,280,34000,21.0,94.0,1.16
2022-11,Hyundai,Creta,1.6,123,1551000,276,34000,21.0,94.0,1.16
2022-11,Kia,Rio,1.6,100,1551000,261,34000,21.0,94.0,1.16
2022-11,Toyota,RAV4,2.0,146,1551000,233,34000,21.0,94.0,1.16
2022-11,Chery,Tiggo7,1.5,147,1551000,271,34000,21.0,94.0,1.16
2022-11,Geely,Coolray,1.5,147,1551000,217,34000,21.0,94.0,1.16
2022-11,BMW,X5,3.0,249,1551000,250,34000,21.0,94.0,1.16
2022-11,Mercedes,E-Class,2.0,194,1551000,252,34000,21.0,94.0,1.16
2022-11,Volkswagen,Polo,1.6,110,1551000,304,34000,21.0,94.0,1.16
2022-12,Lada,Vesta,1.6,106,1551000,261,34000,23.0,99.0,1.16
2022-12,Lada,Granta,1.6,90,1551000,205,34000,23.0,99.0,1.16
2022-12,Hyundai,Creta,1.6,123,1551000,227,34000,23.0,99.0,1.16
2022-12,Kia,Rio,1.6,100,1551000,198,34000,23.0,99.0,1.16
2022-12,Toyota,RAV4,2.0,146,1551000,264,34000,23.0,99.0,1.16
2022-12,Chery,Tiggo7,1.5,147,1551000,261,34000,23.0,99.0,1.16
2022-12,Geely,Coolray,1.5,147,1551000,209,34000,23.0,99.0,1.16
2022-12,BMW,X5,3.0,249,1551000,240,34000,23.0,99.0,1.16
2022-12,Mercedes,E-Class,2.0,194,1551000,237,34000,23.0,99.0,1.16
2022-12,Volkswagen,Polo,1.6,110,1551000,195,34000,23.0,99.0,1.16
2023-01,Lada,Vesta,1.6,106,1551000,267,34000,22.0,99.5,1.01
2023-01,Lada,Granta,1.6,90,1551000,246,34000,22.0,99.5,1.01
2023-01,Hyundai,Creta,1.6,123,1551000,269,34000,22.0,99.5,1.01
2023-01,Kia,Rio,1.6,100,1551000,245,34000,22.0,99.5,1.01
2023-01,Toyota,RAV4,2.0,146,1551000,194,34000,22.0,99.5,1.01
2023-01,Chery,Tiggo7,1.5,147,1551000,225,34000,22.0,99.5,1.01
2023-01,Geely,Coolray,1.5,147,1551000,195,34000,22.0,99.5,1.01
2023-01,BMW,X5,3.0,249,1551000,284,34000,22.0,99.5,1.01
2023-01,Mercedes,E-Class,2.0,194,1551000,279,34000,22.0,99.5,1.01
2023-01,Volkswagen,Polo,1.6,110,1551000,274,34000,22.0,99.5,1.01
2023-02,Lada,Vesta,1.6,106,1551000,223,34000,22.0,106.5,1.01
2023-02,Lada,Granta,1.6,90,1551000,199,34000,22.0,106.5,1.01
2023-02,Hyundai,Creta,1.6,123,1551000,279,34000,22.0,106.5,1.01
2023-02,Kia,Rio,1.6,100,1551000,285,34000,22.0,106.5,1.01
2023-02,Toyota,RAV4,2.0,146,1551000,202,34000,22.0,106.5,1.01
2023-02,Chery,Tiggo7,1.5,147,1551000,241,34000,22.0,106.5,1.01
2023-02,Geely,Coolray,1.5,147,1551000,200,34000,22.0,106.5,1.01
2023-02,BMW,X5,3.0,249,1551000,267,34000,22.0,106.5,1.01
2023-02,Mercedes,E-Class,2.0,194,1551000,268,34000,22.0,106.5,1.01
2023-02,Volkswagen,Polo,1.6,110,1551000,206,34000,22.0,106.5,1.01
2023-03,Lada,Vesta,1.6,106,1551000,254,34000,21.0,103.5,1.01
2023-03,Lada,Granta,1.6,90,1551000,262,34000,21.0,103.5,1.01
2023-03,Hyundai,Creta,1.6,123,1551000,233,34000,21.0,103.5,1.01
2023-03,Kia,Rio,1.6,100,1551000,295,34000,21.0,103.5,1.01
2023-03,Toyota,RAV4,2.0,146,1551000,249,34000,21.0,103.5,1.01
2023-03,Chery,Tiggo7,1.5,147,1551000,227,34000,21.0,103.5,1.01
2023-03,Geely,Coolray,1.5,147,1551000,261,34000,21.0,103.5,1.01
2023-03,BMW,X5,3.0,249,1551000,281,34000,21.0,103.5,1.01
2023-03,Mercedes,E-Class,2.0,194,1551000,226,34000,21.0,103.5,1.01
2023-03,Volkswagen,Polo,1.6,110,1551000,238,34000,21.0,103.5,1.01
2023-04,Lada,Vesta,1.6,106,1551000,326,34000,20.0,100.5,1.01
2023-04,Lada,Granta,1.6,90,1551000,288,34000,20.0,100.5,1.01
2023-04,Hyundai,Creta,1.6,123,1551000,265,34000,20.0,100.5,1.01
2023-04,Kia,Rio,1.6,100,1551000,274,34000,20.0,100.5,1.01
2023-04,Toyota,RAV4,2.0,146,1551000,231,34000,20.0,100.5,1.01
2023-04,Chery,Tiggo7,1.5,147,1551000,242,34000,20.0,100.5,1.01
2023-04,Geely,Coolray,1.5,147,1551000,254,34000,20.0,100.5,1.01
2023-04,BMW,X5,3.0,249,1551000,282,34000,20.0,100.5,1.01
2023-04,Mercedes,E-Class,2.0,194,1551000,243,34000,20.0,100.5,1.01
2023-04,Volkswagen,Polo,1.6,110,1551000,241,34000,20.0,100.5,1.01
2023-05,Lada,Vesta,1.6,106,1551000,238,34000,19.0,96.5,1.01
2023-05,Lada,Granta,1.6,90,1551000,302,34000,19.0,96.5,1.01
2023-05,Hyundai,Creta,1.6,123,1551000,256,34000,19.0,96.5,1.01
2023-05,Kia,Rio,1.6,100,1551000,334,34000,19.0,96.5,1.01
2023-05,Toyota,RAV4,2.0,146,1551000,328,34000,19.0,96.5,1.01
2023-05,Chery,Tiggo7,1.5,147,1551000,238,34000,19.0,96.5,1.01
2023-05,Geely,Coolray,1.5,147,1551000,257,34000,19.0,96.5,1.01
2023-05,BMW,X5,3.0,249,1551000,306,34000,19.0,96.5,1.01
2023-05,Mercedes,E-Class,2.0,194,1551000,254,34000,19.0,96.5,1.01
2023-05,Volkswagen,Polo,1.6,110,1551000,245,34000,19.0,96.5,1.01
2023-06,Lada,Vesta,1.6,106,1551000,355,34000,18.0,93.5,1.01
2023-06,Lada,Granta,1.6,90,1551000,311,34000,18.0,93.5,1.01
2023-06,Hyundai,Creta,1.6,123,1551000,299,34000,18.0,93.5,1.01
2023-06,Kia,Rio,1.6,100,1551000,336,34000,18.0,93.5,1.01
2023-06,Toyota,RAV4,2.0,146,1551000,339,34000,18.0,93.5,1.01
2023-06,Chery,Tiggo7,1.5,147,1551000,264,34000,18.0,93.5,1.01
2023-06,Geely,Coolray,1.5,147,1551000,253,34000,18.0,93.5,1.01
2023-06,BMW,X5,3.0,249,1551000,294,34000,18.0,93.5,1.01
2023-06,Mercedes,E-Class,2.0,194,1551000,293,34000,18.0,93.5,1.01
2023-06,Volkswagen,Polo,1.6,110,1551000,298,34000,18.0,93.5,1.01
2023-07,Lada,Vesta,1.6,106,1551000,346,34000,17.0,91.5,1.01
2023-07,Lada,Granta,1.6,90,1551000,339,34000,17.0,91.5,1.01
2023-07,Hyundai,Creta,1.6,123,1551000,378,34000,17.0,91.5,1.01
2023-07,Kia,Rio,1.6,100,1551000,266,34000,17.0,91.5,1.01
2023-07,Toyota,RAV4,2.0,146,1551000,305,34000,17.0,91.5,1.01
2023-07,Chery,Tiggo7,1.5,147,1551000,297,34000,17.0,91.5,1.01
2023-07,Geely,Coolray,1.5,147,1551000,363,34000,17.0,91.5,1.01
2023-07,BMW,X5,3.0,249,1551000,285,34000,17.0,91.5,1.01
2023-07,Mercedes,E-Class,2.0,194,1551000,278,34000,17.0,91.5,1.01
2023-07,Volkswagen,Polo,1.6,110,1551000,310,34000,17.0,91.5,1.01
2023-08,Lada,Vesta,1.6,106,1551000,322,34000,16.0,89.5,1.01
2023-08,Lada,Granta,1.6,90,1551000,303,34000,16.0,89.5,1.01
2023-08,Hyundai,Creta,1.6,123,1551000,299,34000,16.0,89.5,1.01
2023-08,Kia,Rio,1.6,100,1551000,388,34000,16.0,89.5,1.01
2023-08,Toyota,RAV4,2.0,146,1551000,324,34000,16.0,89.5,1.01
2023-08,Chery,Tiggo7,1.5,147,1551000,380,34000,16.0,89.5,1.01
2023-08,Geely,Coolray,1.5,147,1551000,339,34000,16.0,89.5,1.01
2023-08,BMW,X5,3.0,249,1551000,272,34000,16.0,89.5,1.01
2023-08,Mercedes,E-Class,2.0,194,1551000,398,34000,16.0,89.5,1.01
2023-08,Volkswagen,Polo,1.6,110,1551000,377,34000,16.0,89.5,1.01
2023-09,Lada,Vesta,1.6,106,1551000,412,34000,15.0,88.5,1.01
2023-09,Lada,Granta,1.6,90,1551000,406,34000,15.0,88.5,1.01
2023-09,Hyundai,Creta,1.6,123,1551000,395,34000,15.0,88.5,1.01
2023-09,Kia,Rio,1.6,100,1551000,301,34000,15.0,88.5,1.01
2023-09,Toyota,RAV4,2.0,146,1551000,345,34000,15.0,88.5,1.01
2023-09,Chery,Tiggo7,1.5,147,1551000,307,34000,15.0,88.5,1.01
2023-09,Geely,Coolray,1.5,147,1551000,333,34000,15.0,88.5,1.01
2023-09,BMW,X5,3.0,249,1551000,286,34000,15.0,88.5,1.01
2023-09,Mercedes,E-Class,2.0,194,1551000,330,34000,15.0,88.5,1.01
2023-09,Volkswagen,Polo,1.6,110,1551000,414,34000,15.0,88.5,1.01
2023-10,Lada,Vesta,1.6,106,1551000,328,34000,14.0,87.5,1.01
2023-10,Lada,Granta,1.6,90,1551000,403,34000,14.0,87.5,1.01
2023-10,Hyundai,Creta,1.6,123,1551000,355,34000,14.0,87.5,1.01
2023-10,Kia,Rio,1.6,100,1551000,351,34000,14.0,87.5,1.01
2023-10,Toyota,RAV4,2.0,146,1551000,428,34000,14.0,87.5,1.01
2023-10,Chery,Tiggo7,1.5,147,1551000,434,34000,14.0,87.5,1.01
2023-10,Geely,Coolray,1.5,147,1551000,370,34000,14.0,87.5,1.01
2023-10,BMW,X5,3.0,249,1551000,394,34000,14.0,87.5,1.01
2023-10,Mercedes,E-Class,2.0,194,1551000,312,34000,14.0,87.5,1.01
2023-10,Volkswagen,Polo,1.6,110,1551000,332,34000,14.0,87.5,1.01
2023-11,Lada,Vesta,1.6,106,1551000,430,34000,14.0,87.5,1.01
2023-11,Lada,Granta,1.6,90,1551000,373,34000,14.0,87.5,1.01
2023-11,Hyundai,Creta,1.6,123,1551000,368,34000,14.0,87.5,1.01
2023-11,Kia,Rio,1.6,100,1551000,398,34000,14.0,87.5,1.01
2023-11,Toyota,RAV4,2.0,146,1551000,298,34000,14.0,87.5,1.01
2023-11,Chery,Tiggo7,1.5,147,1551000,374,34000,14.0,87.5,1.01
2023-11,Geely,Coolray,1.5,147,1551000,362,34000,14.0,87.5,1.01
2023-11,BMW,X5,3.0,249,1551000,413,34000,14.0,87.5,1.01
2023-11,Mercedes,E-Class,2.0,194,1551000,312,34000,14.0,87.5,1.01
2023-11,Volkswagen,Polo,1.6,110,1551000,429,34000,14.0,87.5,1.01
2023-12,Lada,Vesta,1.6,106,1551000,301,34000,14.0,87.5,1.01
2023-12,Lada,Granta,1.6,90,1551000,316,34000,14.0,87.5,1.01
2023-12,Hyundai,Creta,1.6,123,1551000,376,34000,14.0,87.5,1.01
2023-12,Kia,Rio,1.6,100,1551000,387,34000,14.0,87.5,1.01
2023-12,Toyota,RAV4,2.0,146,1551000,324,34000,14.0,87.5,1.01
2023-12,Chery,Tiggo7,1.5,147,1551000,307,34000,14.0,87.5,1.01
2023-12,Geely,Coolray,1.5,147,1551000,419,34000,14.0,87.5,1.01
2023-12,BMW,X5,3.0,249,1551000,325,34000,14.0,87.5,1.01
2023-12,Mercedes,E-Class,2.0,194,1551000,376,34000,14.0,87.5,1.01
2023-12,Volkswagen,Polo,1.6,110,1551000,379,34000,14.0,87.5,1.01
2024-01,Lada,Vesta,1.6,106,1566300,364,44200,13.0,86.0,0.86
2024-01,Lada,Granta,1.6,90,1566300,389,44200,13.0,86.0,0.86
2024-01,Hyundai,Creta,1.6,123,1566300,380,44200,13.0,86.0,0.86
2024-01,Kia,Rio,1.6,100,1566300,442,44200,13.0,86.0,0.86
2024-01,Toyota,RAV4,2.0,146,1566300,332,44200,13.0,86.0,0.86
2024-01,Chery,Tiggo7,1.5,147,1566300,409,44200,13.0,86.0,0.86
2024-01,Geely,Coolray,1.5,147,1566300,337,44200,13.0,86.0,0.86
2024-01,BMW,X5,3.0,249,1566300,360,44200,13.0,86.0,0.86
2024-01,Mercedes,E-Class,2.0,194,1566300,402,44200,13.0,86.0,0.86
2024-01,Volkswagen,Polo,1.6,110,1566300,346,44200,13.0,86.0,0.86
2024-02,Lada,Vesta,1.6,106,1566300,348,44200,13.0,86.0,0.86
2024-02,Lada,Granta,1.6,90,1566300,414,44200,13.0,86.0,0.86
2024-02,Hyundai,Creta,1.6,123,1566300,312,44200,13.0,86.0,0.86
2024-02,Kia,Rio,1.6,100,1566300,370,44200,13.0,86.0,0.86
2024-02,Toyota,RAV4,2.0,146,1566300,451,44200,13.0,86.0,0.86
2024-02,Chery,Tiggo7,1.5,147,1566300,451,44200,13.0,86.0,0.86
2024-02,Geely,Coolray,1.5,147,1566300,312,44200,13.0,86.0,0.86
2024-02,BMW,X5,3.0,249,1566300,333,44200,13.0,86.0,0.86
2024-02,Mercedes,E-Class,2.0,194,1566300,341,44200,13.0,86.0,0.86
2024-02,Volkswagen,Polo,1.6,110,1566300,441,44200,13.0,86.0,0.86
2024-03,Lada,Vesta,1.6,106,1566300,434,44200,13.0,86.0,0.86
2024-03,Lada,Granta,1.6,90,1566300,433,44200,13.0,86.0,0.86
2024-03,Hyundai,Creta,1.6,123,1566300,357,44200,13.0,86.0,0.86
2024-03,Kia,Rio,1.6,100,1566300,325,44200,13.0,86.0,0.86
2024-03,Toyota,RAV4,2.0,146,1566300,426,44200,13.0,86.0,0.86
2024-03,Chery,Tiggo7,1.5,147,1566300,407,44200,13.0,86.0,0.86
2024-03,Geely,Coolray,1.5,147,1566300,393,44200,13.0,86.0,0.86
2024-03,BMW,X5,3.0,249,1566300,450,44200,13.0,86.0,0.86
2024-03,Mercedes,E-Class,2.0,194,1566300,399,44200,13.0,86.0,0.86
2024-03,Volkswagen,Polo,1.6,110,1566300,302,44200,13.0,86.0,0.86
2024-04,Lada,Vesta,1.6,106,1566300,424,44200,13.0,86.0,0.86
2024-04,Lada,Granta,1.6,90,1566300,346,44200,13.0,86.0,0.86
2024-04,Hyundai,Creta,1.6,123,1566300,401,44200,13.0,86.0,0.86
2024-04,Kia,Rio,1.6,100,1566300,442,44200,13.0,86.0,0.86
2024-04,Toyota,RAV4,2.0,146,1566300,321,44200,13.0,86.0,0.86
2024-04,Chery,Tiggo7,1.5,147,1566300,318,44200,13.0,86.0,0.86
2024-04,Geely,Coolray,1.5,147,1566300,317,44200,13.0,86.0,0.86
2024-04,BMW,X5,3.0,249,1566300,384,44200,13.0,86.0,0.86
2024-04,Mercedes,E-Class,2.0,194,1566300,342,44200,13.0,86.0,0.86
2024-04,Volkswagen,Polo,1.6,110,1566300,392,44200,13.0,86.0,0.86
2024-05,Lada,Vesta,1.6,106,1566300,409,44200,13.0,86.0,0.86
2024-05,Lada,Granta,1.6,90,1566300,332,44200,13.0,86.0,0.86
2024-05,Hyundai,Creta,1.6,123,1566300,396,44200,13.0,86.0,0.86
2024-05,Kia,Rio,1.6,100,1566300,341,44200,13.0,86.0,0.86
2024-05,Toyota,RAV4,2.0,146,1566300,374,44200,13.0,86.0,0.86
2024-05,Chery,Tiggo7,1.5,147,1566300,437,44200,13.0,86.0,0.86
2024-05,Geely,Coolray,1.5,147,1566300,428,44200,13.0,86.0,0.86
2024-05,BMW,X5,3.0,249,1566300,315,44200,13.0,86.0,0.86
2024-05,Mercedes,E-Class,2.0,194,1566300,365,44200,13.0,86.0,0.86
2024-05,Volkswagen,Polo,1.6,110,1566300,343,44200,13.0,86.0,0.86
2024-06,Lada,Vesta,1.6,106,1566300,301,44200,13.0,86.0,0.86
2024-06,Lada,Granta,1.6,90,1566300,417,44200,13.0,86.0,0.86
2024-06,Hyundai,Creta,1.6,123,1566300,397,44200,13.0,86.0,0.86
2024-06,Kia,Rio,1.6,100,1566300,340,44200,13.0,86.0,0.86
2024-06,Toyota,RAV4,2.0,146,1566300,413,44200,13.0,86.0,0.86
2024-06,Chery,Tiggo7,1.5,147,1566300,384,44200,13.0,86.0,0.86
2024-06,Geely,Coolray,1.5,147,1566300,365,44200,13.0,86.0,0.86
2024-06,BMW,X5,3.0,249,1566300,302,44200,13.0,86.0,0.86
2024-06,Mercedes,E-Class,2.0,194,1566300,312,44200,13.0,86.0,0.86
2024-06,Volkswagen,Polo,1.6,110,1566300,434,44200,13.0,86.0,0.86
2024-07,Lada,Vesta,1.6,106,1566300,437,44200,13.0,86.0,0.86
2024-07,Lada,Granta,1.6,90,1566300,383,44200,13.0,86.0,0.86
2024-07,Hyundai,Creta,1.6,123,1566300,427,44200,13.0,86.0,0.86
2024-07,Kia,Rio,1.6,100,1566300,389,44200,13.0,86.0,0.86
2024-07,Toyota,RAV4,2.0,146,1566300,323,44200,13.0,86.0,0.86
2024-07,Chery,Tiggo7,1.5,147,1566300,320,44200,13.0,86.0,0.86
2024-07,Geely,Coolray,1.5,147,1566300,347,44200,13.0,86.0,0.86
2024-07,BMW,X5,3.0,249,1566300,436,44200,13.0,86.0,0.86
2024-07,Mercedes,E-Class,2.0,194,1566300,421,44200,13.0,86.0,0.86
2024-07,Volkswagen,Polo,1.6,110,1566300,431,44200,13.0,86.0,0.86
2024-08,Lada,Vesta,1.6,106,1566300,436,44200,13.0,86.0,0.86
2024-08,Lada,Granta,1.6,90,1566300,333,44200,13.0,86.0,0.86
2024-08,Hyundai,Creta,1.6,123,1566300,338,44200,13.0,86.0,0.86
2024-08,Kia,Rio,1.6,100,1566300,316,44200,13.0,86.0,0.86
2024-08,Toyota,RAV4,2.0,146,1566300,418,44200,13.0,86.0,0.86
2024-08,Chery,Tiggo7,1.5,147,1566300,434,44200,13.0,86.0,0.86
2024-08,Geely,Coolray,1.5,147,1566300,362,44200,13.0,86.0,0.86
2024-08,BMW,X5,3.0,249,1566300,394,44200,13.0,86.0,0.86
2024-08,Mercedes,E-Class,2.0,194,1566300,324,44200,13.0,86.0,0.86
2024-08,Volkswagen,Polo,1.6,110,1566300,441,44200,13.0,86.0,0.86
2024-09,Lada,Vesta,1.6,106,1566300,431,44200,13.0,86.0,0.86
2024-09,Lada,Granta,1.6,90,1566300,448,44200,13.0,86.0,0.86
2024-09,Hyundai,Creta,1.6,123,1566300,423,44200,13.0,86.0,0.86
2024-09,Kia,Rio,1.6,100,1566300,434,44200,13.0,86.0,0.86
2024-09,Toyota,RAV4,2.0,146,1566300,305,44200,13.0,86.0,0.86
2024-09,Chery,Tiggo7,1.5,147,1566300,412,44200,13.0,86.0,0.86
2024-09,Geely,Coolray,1.5,147,1566300,351,44200,13.0,86.0,0.86
2024-09,BMW,X5,3.0,249,1566300,441,44200,13.0,86.0,0.86
2024-09,Mercedes,E-Class,2.0,194,1566300,422,44200,13.0,86.0,0.86
2024-09,Volkswagen,Polo,1.6,110,1566300,431,44200,13.0,86.0,0.86
2024-10,Lada,Vesta,1.6,106,1566300,423,44200,13.0,86.0,0.86
2024-10,Lada,Granta,1.6,90,1566300,341,44200,13.0,86.0,0.86
2024-10,Hyundai,Creta,1.6,123,1566300,419,44200,13.0,86.0,0.86
2024-10,Kia,Rio,1.6,100,1566300,317,44200,13.0,86.0,0.86
2024-10,Toyota,RAV4,2.0,146,1566300,432,44200,13.0,86.0,0.86
